date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:18	301/301	---M-Z	200	added ('OK')	text/plain	date:Wed,%2016%20Nov%202022%2009:21:53%20GMT	https://www.kelabmama.com/robots.txt		(from )
16:55:19	105146/105146	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2008:55:19%20GMT	https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/index.html	(from )
16:55:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2021%20May%202024%2008:55:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.googletagmanager.com/gtm.05445.delayed	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:20	770/770	---M-Z	200	added ('OK')	image/png	etag:W/%22PSA-c9SJSvy1lP-gzip%22	https://www.kelabmama.com/story_wordpress/wp-content/uploads/2019/02/kmm.png	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/story_wordpress/wp-content/uploads/2019/02/kmm.png	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:20	57975/57975	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://www.kelabmama.com/story_wordpress/wp-includes/css/dist/block-library/A.style.min.css,qver=5.7.2.pagespeed.cf.XRz6SezAMZ.css	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/story_wordpress/wp-includes/css/dist/block-library/A.style.min.css,qver=5.7.2.pagespeed.cf.XRz6SezAMZ.css	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:21	2714/2714	---M-Z	200	added ('OK')	text/css	etag:W/%22PSA-CHEC7Ln5lx%22	https://www.kelabmama.com/story_wordpress/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.2	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/story_wordpress/wp-includes/css/dist/block-library/theme.min9f31.css	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:21	521477/521477	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://www.kelabmama.com/story_wordpress/wp-content/themes/soledad/A.style.css,qver=6.1.pagespeed.cf.NJZdti6RUJ.css	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/story_wordpress/wp-content/themes/soledad/A.style.css,qver=6.1.pagespeed.cf.NJZdti6RUJ.css	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:21	89410/89410	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220%22	https://www.kelabmama.com/story_wordpress/wp-includes/js/jquery/jquery.min.js,qver=3.5.1.pagespeed.jm.buo63cp1wa.js	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/story_wordpress/wp-includes/js/jquery/jquery.min.js,qver=3.5.1.pagespeed.jm.buo63cp1wa.js	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:21	11126/11126	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220-gzip%22	https://www.kelabmama.com/story_wordpress/wp-includes/js/jquery/jquery-migrate.min.js,qver=3.3.2.pagespeed.jm.Ws-UgblvVg.js	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/story_wordpress/wp-includes/js/jquery/jquery-migrate.min.js,qver=3.3.2.pagespeed.jm.Ws-UgblvVg.js	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:22	70187/70187	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2008:55:23%20GMT	https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/OneSignalSDKUpdaterWorker.js.php	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/OneSignalSDKUpdaterWorker.js.php	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:23	70187/70187	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2008:55:23%20GMT	https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/OneSignalSDKWorker.js.php	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/OneSignalSDKWorker.js.php	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:23	93583/93583	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://www.kelabmama.com/v3/assets/js/jquery.1.8.3.min.js.pagespeed.jm.0IhQ85x_cu.js	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/v3/assets/js/jquery.1.8.3.min.js.pagespeed.jm.0IhQ85x_cu.js	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:23	33278/33278	---M-Z	200	added ('OK')	application/javascript	etag:W/%22PSA-aj-B9km4g3o6G%22	https://visual.nuren.co/media/dynamicnuren.js	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/visual.nuren.co/media/dynamicnuren.js	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
16:55:24	38799/38799	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2008:55:24%20GMT	https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/amp/	C:Koleksi%20ustazah%20siti%20nor%20bahyah/10%20tip%20rumah%20tangga%20bahagia/www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/amp/index.html	(from https://www.kelabmama.com/rumah-tangga-bahagia-ustazah-siti-nor-bahyah/)
