date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:54	419354/419354	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2003:31:54%20GMT	https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/index.html	(from )
11:33:54	139/139	---MCZ	200	added ('OK')	text/plain	etag:W/%22a7-64cc60c0-7e7b0;;;%22	https://sinarplus.sinarharian.com.my/robots.txt		(from )
11:33:57	959/959	---M--	200	added ('OK')	image/png	etag:%229854205ca38fc05d9517d1a3d284b8bd%22	https://website-sinarharian.sinarharian.com.my/2022/06/favicon-2.png	C:/anak-menantu-wajib-pulang-sebelum-maghrib/website-sinarharian.sinarharian.com.my/2022/06/favicon-2.png	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
11:33:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20May%202024%2003:33:58%20GMT	http://sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/dhpyygnc/2sdq4.css	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/dhpyygnc/2sdq4.2.delayed	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
11:33:59	10486/10486	---MC-	302	error ('Found')	text/html	date:Tue,%2021%20May%202024%2003:33:58%20GMT	https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/amp/	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/amp/index.html	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
11:34:01	113189/113189	---MCZ	200	added ('OK')	text/css	etag:W/%221ba0a-664b123a-6272e6;br%22	https://sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/dhpyygnc/2sdq4.css	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/dhpyygnc/2sdq4.css	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
11:34:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20May%202024%2003:34:00%20GMT	http://sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/deg7hlky/2sdq4.css	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/deg7hlky/2sdq4.css	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
11:34:03	39142/39142	---MCZ	200	added ('OK')	text/css	etag:W/%2299a9-664b123a-6272e4;br%22	https://sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/deg7hlky/2sdq4.css	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/deg7hlky/2sdq4.css	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
11:34:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20May%202024%2003:34:03%20GMT	http://sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/23za5avv/2sdq4.css	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/23za5avv/2sdq4.css	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
11:34:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20May%202024%2003:34:06%20GMT	http://sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/8mqwxs0k/2sdq4.css	C:/anak-menantu-wajib-pulang-sebelum-maghrib/sinarplus.sinarharian.com.my/wp-content/cache/wpfc-minified/8mqwxs0k/2sdq4.css	(from https://sinarplus.sinarharian.com.my/kisah-masyarakat/anak-menantu-wajib-pulang-sebelum-maghrib-ustazah-siti-nor-bahyah/)
